section,sample_id,timepoint,time_order,conditioned_on,cell_state,comparison_type,n_bins,n_Fib_K14,n_cell_state,fixed_radius_um,cooccurrence_score,p_enrichment,fdr_within_17_FibK14_KC_SAC_states,n_permutations
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous_Mat,cross-state,47042,13313,408,50.0,0.13537811363545843,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Granular,cross-state,47042,13313,403,50.0,0.02951063884915415,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Progenitor,cross-state,47042,13313,868,50.0,0.055250109336997144,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Clear,cross-state,47042,13313,340,50.0,0.02192060585640296,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Dark,cross-state,47042,13313,8092,50.0,0.035264243278081475,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Ductal,cross-state,47042,13313,936,50.0,0.026086795339699723,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_IRS,cross-state,47042,13313,412,50.0,0.036519801507786616,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_ORS,cross-state,47042,13313,2714,50.0,0.03984240150454102,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_HFSC,cross-state,47042,13313,60,50.0,0.015742590156039744,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_DP_DS,cross-state,47042,13313,34,50.0,0.0673833778107577,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_Matrix,cross-state,47042,13313,14,50.0,0.0200073894900289,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,Fib_K14,self,39669,1650,1650,50.0,3.4731037242149405,0.001,0.017,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Basal,cross-state,39669,1650,585,50.0,0.3321166508312591,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Basal_Mig,cross-state,39669,1650,7,50.0,0.10891405665739329,0.996,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Basal_Prolif,cross-state,39669,1650,3,50.0,0.7359057882256304,0.66,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Spinous,cross-state,39669,1650,2263,50.0,0.12625881721496976,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Spinous_Mig,cross-state,39669,1650,3968,50.0,0.2189110829059872,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Spinous_Mat,cross-state,39669,1650,48,50.0,0.27466557664103886,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,KC_Granular,cross-state,39669,1650,117,50.0,0.09378363087605622,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_SG_Progenitor,cross-state,39669,1650,5479,50.0,0.04895524948278306,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_SG_Clear,cross-state,39669,1650,180,50.0,0.015824398003302008,1.0,1.0,999
