section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,Endo_Arterial,5730.494518984558,2865.247259492279,1.0360615897618535
26dpb_p2,Fib_K14,Endo_Arterial,5923.5386126596095,2961.7693063298047,1.0339960628591667
26dpb_p2,Fib_K14,Endo_Arterial,6116.582706334661,3058.2913531673307,1.0333092614566433
26dpb_p2,Fib_K14,Endo_Arterial,6309.626800009713,3154.8134000048567,1.029539359844709
26dpb_p2,Fib_K14,Endo_Arterial,6502.670893684764,3251.335446842382,1.0280917622566355
26dpb_p2,Fib_K14,Endo_Arterial,6695.7149873598155,3347.8574936799077,1.0279439488503672
26dpb_p2,Fib_K14,Endo_Arterial,6888.759081034867,3444.3795405174337,1.02584920430992
26dpb_p2,Fib_K14,Endo_Arterial,7081.803174709919,3540.9015873549597,1.0213789979421806
26dpb_p2,Fib_K14,Endo_Arterial,7274.84726838497,3637.423634192485,1.0200745990944073
26dpb_p2,Fib_K14,Endo_Arterial,7467.8913620600215,3733.9456810300107,1.0166627306471467
26dpb_p2,Fib_K14,Endo_Arterial,7660.935455735073,3830.4677278675367,1.0156577407998786
26dpb_p2,Fib_K14,Endo_Arterial,7853.979549410125,3926.9897747050627,1.0133720908550785
26dpb_p2,Fib_K14,Endo_Arterial,8047.023643085176,4023.511821542588,1.0121290764121575
26dpb_p2,Fib_K14,Endo_Arterial,8240.067736760227,4120.033868380114,1.011410013850903
26dpb_p2,Fib_K14,Endo_Arterial,8433.11183043528,4216.55591521764,1.0079459384400353
26dpb_p2,Fib_K14,Endo_Arterial,8626.155924110331,4313.077962055166,1.0066387983680791
26dpb_p2,Fib_K14,Endo_Arterial,8819.200017785382,4409.600008892691,1.0053085473089858
26dpb_p2,Fib_K14,Endo_Arterial,9012.244111460433,4506.122055730217,1.0022380788983716
26dpb_p2,Fib_K14,Endo_Arterial,9205.288205135486,4602.64410256774…32087 tokens truncated…688
26dpb_p2,Fib_K14,SAC_SG_Progenitor,518.3039897581684,259.1519948790842,0.3238410020750016
26dpb_p2,Fib_K14,SAC_SG_Progenitor,711.3480834332199,355.67404171660996,0.4027776878986735
26dpb_p2,Fib_K14,SAC_SG_Progenitor,904.3921771082714,452.1960885541357,0.4723715414557162
26dpb_p2,Fib_K14,SAC_SG_Progenitor,1097.436270783323,548.7181353916615,0.5421422509129905
26dpb_p2,Fib_K14,SAC_SG_Progenitor,1290.4803644583744,645.2401822291872,0.6076164998769558
26dpb_p2,Fib_K14,SAC_SG_Progenitor,1483.524458133426,741.762229066713,0.6739090465288111
26dpb_p2,Fib_K14,SAC_SG_Progenitor,1676.5685518084774,838.2842759042387,0.7433172906543906
26dpb_p2,Fib_K14,SAC_SG_Progenitor,1869.612645483529,934.8063227417645,0.8046112238767028
26dpb_p2,Fib_K14,SAC_SG_Progenitor,2062.6567391585804,1031.3283695792902,0.8528753257939372
26dpb_p2,Fib_K14,SAC_SG_Progenitor,2255.700832833632,1127.850416416816,0.8867880894388398
26dpb_p2,Fib_K14,SAC_SG_Progenitor,2448.7449265086834,1224.3724632543417,0.9058764994100906
26dpb_p2,Fib_K14,SAC_SG_Progenitor,2641.789020183735,1320.8945100918675,0.9164506631021365
26dpb_p2,Fib_K14,SAC_SG_Progenitor,2834.8331138587864,1417.4165569293932,0.9229481923349238
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3027.877207533838,1513.938603766919,0.9274665968490206
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3220.9213012088894,1610.4606506044447,0.9312510954988373
